district,tree_species,quantity,type
Vetluzhsky District ,alder,400,deciduous 
Varnavinsky District,alder,636,deciduous 
Makaryevsky District,alder,90,deciduous 
Total for northeast,alder,2817,deciduous 
Soligalichsky District,alder,120,deciduous 
Chukhlomsky District,alder,1086,deciduous 
Galichsky District,alder,1220,deciduous 
Buysky District,alder,288,deciduous 
Total for northwest,alder,2713,deciduous 
Kineshemsky District,alder,146,deciduous 
Kostromskoy District,alder,1310,deciduous 
Yurevetsky District,alder,304,deciduous 
Nerekhtsky District,alder,41,deciduous 
Total for southwest,alder,1801,deciduous 
All,alder,7330,deciduous 
Kologrivsky District,birch_and_aspen,14699,deciduous 
Vetluzhsky District ,birch_and_aspen,11469,deciduous 
Varnavinsky District,birch_and_aspen,42344,deciduous 
Makaryevsky District,birch_and_aspen,8269,deciduous 
Total for northeast,birch_and_aspen,76780,deciduous 
Soligalichsky District,birch_and_aspen,16825,deciduous 
Chukhlomsky District,birch_and_aspen,20565,deciduous 
Galichsky District,birch_and_aspen,10337,deciduous 
Buysky District,birch_and_aspen,22701,deciduous 
Total for northwest,birch_and_aspen,70428,deciduous 
Kineshemsky District,birch_and_aspen,14361,deciduous 
Kostromskoy District,birch_and_aspen,15659,deciduous 
Yurevetsky District,birch_and_aspen,5038,deciduous 
Nerekhtsky District,birch_and_aspen,18414,deciduous 
Total for southwest,birch_and_aspen,53472,deciduous 
All,birch_and_aspen,200680,deciduous 
Kologrivsky District,birch_and_alder,821,deciduous 
Vetluzhsky District ,birch_and_alder,74,deciduous 
Varnavinsky District,birch_and_alder,389,deciduous 
Makaryevsky District,birch_and_alder,144,deciduous 
Total for northeast,birch_and_alder,1428,deciduous 
Soligalichsky District,birch_and_alder,2560,deciduous 
Chukhlomsky District,birch_and_alder,180,deciduous 
Galichsky District,birch_and_alder,587,deciduous 
Buysky District,birch_and_alder,1912,deciduous 
Total for northwest,birch_and_alder,5239,deciduous 
Kineshemsky District,birch_and_alder,252,deciduous 
Kostromskoy District,birch_and_alder,2054,deciduous 
Yurevetsky District,birch_and_alder,33,deciduous 
Nerekhtsky District,birch_and_alder,2,deciduous 
Total for southwest,birch_and_alder,2342,deciduous 
All,birch_and_alder,9009,deciduous 
Kologrivsky District,other_deciduous,280,deciduous 
Vetluzhsky District ,other_deciduous,356,deciduous 
Varnavinsky District,other_deciduous,1194,deciduous 
Makaryevsky District,other_deciduous,697,deciduous 
Total for northeast,other_deciduous,2526,deciduous 
Soligalichsky District,other_deciduous,691,deciduous 
Chukhlomsky District,other_deciduous,919,deciduous 
Galichsky District,other_deciduous,131,deciduous 
Buysky District,other_deciduous,232,deciduous 
Total for northwest,other_deciduous,1973,deciduous 
Kineshemsky District,other_deciduous,34,deciduous 
Kostromskoy District,other_deciduous,144,deciduous 
Yurevetsky District,other_deciduous,76,deciduous 
Nerekhtsky District,other_deciduous,47,deciduous 
Total for southwest,other_deciduous,1603,deciduous 
All,other_deciduous,6102,deciduous 
Kologrivsky District,total_deciduous,61997,deciduous 
Vetluzhsky District ,total_deciduous,109378,deciduous 
Varnavinsky District,total_deciduous,157528,deciduous 
Makaryevsky District,total_deciduous,134683,deciduous 
Total for northeast,total_deciduous,463585,deciduous 
Soligalichsky District,total_deciduous,35024,deciduous 
Chukhlomsky District,total_deciduous,32254,deciduous 
Galichsky District,total_deciduous,44408,deciduous 
Buysky District,total_deciduous,27127,deciduous 
Total for northwest,total_deciduous,138812,deciduous 
Kineshemsky District,total_deciduous,23428,deciduous 
Kostromskoy District,total_deciduous,67389,deciduous 
Yurevetsky District,total_deciduous,22087,deciduous 
Nerekhtsky District,total_deciduous,31516,deciduous 
Total for southwest,total_deciduous,144420,deciduous 
All,total_deciduous,746818,deciduous 
